sub	trust_bold_ok	ugr_bold_ok	trust_beh_ok	ugr_beh_ok	include
sub-11358	1	1	1	1	1
sub-11358.html	0	0	0	0	0
sub-11364	1	1	1	1	1
sub-11364.html	0	0	0	0	0
sub-11367	1	1	1	1	1
sub-11367.html	0	0	0	0	0
sub-11374	1	1	1	1	1
sub-11374.html	0	0	0	0	0
sub-11376	1	1	1	1	1
sub-11376.html	0	0	0	0	0
sub-11377	1	1	1	1	1
sub-11377.html	0	0	0	0	0
sub-11387	1	1	1	1	1
sub-11387.html	0	0	0	0	0
sub-11396	1	0	1	0	0
sub-11396.html	0	0	0	0	0
sub-11410	1	1	1	1	1
sub-11410.html	0	0	0	0	0
sub-11416	1	1	1	1	1
sub-11416.html	0	0	0	0	0
sub-11426	1	1	1	1	1
sub-11426.html	0	0	0	0	0
sub-11430	1	1	1	1	1
sub-11430.html	0	0	0	0	0
sub-11432	1	1	1	1	1
sub-11432.html	0	0	0	0	0
sub-11433	1	1	1	1	1
sub-11433.html	0	0	0	0	0
sub-11435	1	1	1	1	1
sub-11435.html	0	0	0	0	0
sub-11439	1	1	1	1	1
sub-11439.html	0	0	0	0	0
sub-11440	1	1	1	1	1
sub-11440.html	0	0	0	0	0
sub-11443	1	1	1	1	1
sub-11443.html	0	0	0	0	0
sub-11450	1	1	1	1	1
sub-11450.html	0	0	0	0	0
sub-11451	1	1	1	1	1
sub-11451.html	0	0	0	0	0
sub-11461	1	1	1	1	1
sub-11461.html	0	0	0	0	0
sub-11462	1	1	1	1	1
sub-11462.html	0	0	0	0	0
sub-11472	1	1	1	1	1
sub-11472.html	0	0	0	0	0
sub-11492	1	1	1	1	1
sub-11492.html	0	0	0	0	0
sub-11493	1	1	1	1	1
sub-11493.html	0	0	0	0	0
sub-11498	1	1	1	1	1
sub-11498.html	0	0	0	0	0
sub-11517	1	1	1	1	1
sub-11517.html	0	0	0	0	0
sub-11518	1	1	1	1	1
sub-11518.html	0	0	0	0	0
sub-11523	1	1	1	1	1
sub-11523.html	0	0	0	0	0
sub-11526	1	1	1	1	1
sub-11526.html	0	0	0	0	0
sub-11527	1	1	1	1	1
sub-11527.html	0	0	0	0	0
sub-11529	1	1	1	1	1
sub-11529.html	0	0	0	0	0
sub-11530	1	1	1	1	1
sub-11530.html	0	0	0	0	0
sub-11532	1	1	1	1	1
sub-11532.html	0	0	0	0	0
sub-11533	1	1	1	1	1
sub-11533.html	0	0	0	0	0
sub-11534	1	1	1	1	1
sub-11534.html	0	0	0	0	0
sub-11535	1	1	1	1	1
sub-11535.html	0	0	0	0	0
sub-11536	1	1	1	1	1
sub-11536.html	0	0	0	0	0
sub-11539	1	1	1	1	1
sub-11539.html	0	0	0	0	0
sub-11540	1	1	1	1	1
sub-11540.html	0	0	0	0	0
sub-11542	1	1	1	1	1
sub-11542.html	0	0	0	0	0
sub-11545	1	1	1	1	1
sub-11545.html	0	0	0	0	0
sub-11551	1	1	1	1	1
sub-11551.html	0	0	0	0	0
sub-11559	1	1	1	1	1
sub-11559.html	0	0	0	0	0
sub-11560	1	1	1	1	1
sub-11560.html	0	0	0	0	0
sub-11563	1	1	1	1	1
sub-11563.html	0	0	0	0	0
sub-11565	1	1	1	1	1
sub-11565.html	0	0	0	0	0
sub-11570	1	1	1	1	1
sub-11570.html	0	0	0	0	0
sub-11572	1	1	1	1	1
sub-11572.html	0	0	0	0	0
sub-11579	1	1	1	1	1
sub-11579.html	0	0	0	0	0
sub-11586	1	1	1	1	1
sub-11586.html	0	0	0	0	0
sub-11587	1	1	1	1	1
sub-11587.html	0	0	0	0	0
sub-11588	1	1	1	1	1
sub-11588.html	0	0	0	0	0
sub-11591	1	1	1	1	1
sub-11591.html	0	0	0	0	0
sub-11597	1	1	1	1	1
sub-11597.html	0	0	0	0	0
sub-11598	1	1	1	1	1
sub-11598.html	0	0	0	0	0
sub-11599	1	1	0	0	0
sub-11599.html	0	0	0	0	0
sub-11600	1	1	1	1	1
sub-11600.html	0	0	0	0	0
sub-11606	1	1	1	1	1
sub-11606.html	0	0	0	0	0
sub-11614	1	1	1	1	1
sub-11614.html	0	0	0	0	0
sub-11622	1	1	1	1	1
sub-11622.html	0	0	0	0	0
sub-11623	1	1	1	1	1
sub-11623.html	0	0	0	0	0
sub-11625	1	1	1	1	1
sub-11625.html	0	0	0	0	0
sub-11626	1	1	1	1	1
sub-11626.html	0	0	0	0	0
sub-11628	1	1	1	1	1
sub-11628.html	0	0	0	0	0
sub-11631	1	1	1	1	1
sub-11631.html	0	0	0	0	0
sub-11651	1	1	1	1	1
sub-11651.html	0	0	0	0	0
sub-11660	1	1	1	1	1
sub-11660.html	0	0	0	0	0
sub-11670	1	1	1	1	1
sub-11670.html	0	0	0	0	0
sub-11674	1	1	1	1	1
sub-11674.html	0	0	0	0	0
sub-11679	1	1	1	1	1
sub-11679.html	0	0	0	0	0
sub-11681	1	1	1	1	1
sub-11681.html	0	0	0	0	0
sub-11692	1	0	1	0	0
sub-11692.html	0	0	0	0	0
sub-11694	0	1	0	1	0
sub-11694.html	0	0	0	0	0
sub-11701	1	1	0	0	0
sub-11701.html	0	0	0	0	0
sub-11703	1	1	1	0	0
sub-11703.html	0	0	0	0	0
sub-11705	1	1	1	1	1
sub-11705.html	0	0	0	0	0
sub-11709	1	1	1	1	1
sub-11709.html	0	0	0	0	0
sub-11710	1	1	1	1	1
sub-11710.html	0	0	0	0	0
sub-11714	1	1	1	1	1
sub-11714.html	0	0	0	0	0
sub-11719	1	0	1	0	0
sub-11719.html	0	0	0	0	0
sub-11720	1	1	1	1	1
sub-11720.html	0	0	0	0	0
sub-11722	1	1	1	1	1
sub-11722.html	0	0	0	0	0
sub-11723	1	1	1	1	1
sub-11723.html	0	0	0	0	0
sub-11736	1	1	1	1	1
sub-11736.html	0	0	0	0	0
sub-11744	1	1	1	1	1
sub-11744.html	0	0	0	0	0
sub-11746	1	1	1	1	1
sub-11746.html	0	0	0	0	0
sub-11748	1	1	1	1	1
sub-11748.html	0	0	0	0	0
sub-11753	1	1	1	1	1
sub-11753.html	0	0	0	0	0
sub-11756	1	1	1	1	1
sub-11756.html	0	0	0	0	0
sub-11764	1	1	1	1	1
sub-11764.html	0	0	0	0	0
sub-11772	1	1	0	1	0
sub-11772.html	0	0	0	0	0
sub-11773	1	1	1	1	1
sub-11773.html	0	0	0	0	0
sub-11774	1	1	1	1	1
sub-11774.html	0	0	0	0	0
sub-11784	1	1	1	1	1
sub-11784.html	0	0	0	0	0
sub-11787	1	1	1	1	1
sub-11787.html	0	0	0	0	0
sub-11788	1	1	1	1	1
sub-11788.html	0	0	0	0	0
sub-11789	1	1	1	0	0
sub-11789.html	0	0	0	0	0
sub-11790	1	1	1	1	1
sub-11790.html	0	0	0	0	0
sub-11793	1	1	1	1	1
sub-11793.html	0	0	0	0	0
sub-11795	1	1	1	0	0
sub-11795.html	0	0	0	0	0
sub-11828	1	1	1	0	0
sub-11828.html	0	0	0	0	0
sub-11829	1	1	1	0	0
sub-11829.html	0	0	0	0	0
sub-11840	1	1	0	0	0
sub-11840.html	0	0	0	0	0
sub-11847	1	1	1	0	0
sub-11847.html	0	0	0	0	0
sub-11861	1	1	0	0	0
sub-11861.html	0	0	0	0	0
sub-11866	1	1	0	0	0
sub-11866.html	0	0	0	0	0
sub-11867	1	1	1	1	1
sub-11867.html	0	0	0	0	0
sub-11870	1	1	0	0	0
sub-11870.html	0	0	0	0	0
sub-11872	1	1	0	0	0
sub-11872.html	0	0	0	0	0
sub-11877	1	1	1	0	0
sub-11877.html	0	0	0	0	0
